1,H,0
2,He,2
3,Li,4
4,Be,5
5,B,6
6,C,6
7,N,7
8,O,8
9,F,10
10,Ne,10
11,Na,12
12,Mg,12
13,Al,14
14,Si,14
15,P,16
16,S,16
17,Cl,17
18,Ar,22
19,K,20
20,Ca,20
21,Sc,24
22,Ti,26
23,V,28
24,Cr,28
25,Mn,30
26,Fe,30
27,Co,32
28,Ni,31
29,Cu,35
30,Zn,35
31,Ga,39
32,Ge,41
33,As,42
34,Se,45
35,Br,45
36,Kr,48
37,Rb,48
38,Sr,50
39,Y,50
40,Zr,51
41,Nb,52
42,Mo,54
43,Tc,55
44,Ru,57
45,Rh,58
46,Pd,60
47,Ag,61
48,Cd,64
49,In,66
50,Sn,69
51,Sb,71
52,Te,76
53,I,74
54,Xe,77
55,Cs,78
56,Ba,81
57,La,82
58,Ce,82
59,Pr,82
60,Nd,84
61,Pm,84
62,Sm,88
63,Eu,89
64,Gd,93
65,Tb,94
66,Dy,97
67,Ho,98
68,Er,99
69,Tm,100
70,Yb,103
71,Lu,104
72,Hf,106
73,Ta,108
74,W,110
75,Re,111
76,Os,114
77,Ir,115
78,Pt,117
79,Au,118
80,Hg,121
81,Tl,123
82,Pb,125
83,Bi,126
84,Po,125
85,At,125
86,Rn,136
87,Fr,136
88,Ra,138
89,Ac,138
90,Th,142
91,Pa,148
92,U,146
93,Np,144
94,Pu,150
95,Am,148
96,Cm,151
97,Bk,150
98,Cf,153
99,Es,153
100,Fm,157

